Nom,Auteur,ISBN
Harry Potter à l'école des sorciers ,J. K. Rowling,9788478888566
Harry Potter et la Chambre des secrets,J. K. Rowling,0747538492
Harry Potter et le Prisonnier d'Azkaban,J. K. Rowling,9781551922461
Harry Potter et la Coupe de feu,J. K. Rowling, 074754624X
Harry Potter et l'Ordre du phénix,J. K. Rowling,0747551006
Harry Potter et le Prince de sang-mêlé,J. K. Rowling,0747581088
Harry Potter et les Reliques de la Mort ,J. K. Rowling,9780747591085
