Nom,Auteur,ISBN
Journal,100 Mile House free press,0843-0403
Journal,1895 : bulletin de l'Association française de recherche sur l'histoire du cinéma,0769-0959
Journal,"100 Years of Radio, 1995.
Journal,18h (site web),
Journal,"2 Rives (Sorel-Tracy, QC)",
Journal,24 Heures (Suisse),
